Point ID,Label,Annual_Precipitation,Distance_to_Nearest_Karst_Feature,Distance_to_Nearest_Water_body,Elevation_(m),Hydrualic_Head_Difference,IAS_Thickness,LULC,Overburden_Thickness,SAS_Thickness,Shear_Waves_Velocities,Slope,Surface_Geology,TPI
5452.0,1.0,1277.0,300.1887817,1828.419312,20.0,-1.524000049,17.06879997,6000.0,27.92480087,11.85599995,247.2253265,0.04502885,7.0,-6.575369835
5453.0,1.0,1269.0,2805.02832,1033.868286,20.0,6.705600262,26.51760101,1000.0,31.8871994,5.674399376,243.2468414,0.565360308,3.0,-1.745695114
5454.0,1.0,1237.0,9822.710938,228.1397247,37.0,10.05840015,18.59280014,1000.0,42.79119873,24.19839859,320.7792969,1.328609347,3.0,0.457824707
5455.0,1.0,1240.0,11091.30566,108.2605286,25.0,1.524000049,36.57600021,1000.0,60.35680008,22.56159973,209.8141022,0.824716032,7.0,-1.890914917
5456.0,1.0,1360.0,4593.076172,446.0454407,6.0,0.0,0.0,1000.0,1.427999973,1.427999973,412.1723022,0.19420208,7.0,-10.85414314
5457.0,1.0,1233.0,17898.49609,283.2987671,29.0,8.229599953,33.22320175,1000.0,60.69919968,24.47599983,237.8328552,0.079115555,7.0,-0.66696167
5458.0,1.0,1338.0,8521.884766,941.1685181,32.0,7.619999886,0.0,1000.0,43.58240128,40.58240128,331.0694275,0.925350785,3.0,7.63865757
5459.0,1.0,1228.0,11043.17578,0.0,32.0,5.486400127,27.73680115,1000.0,44.80160141,19.06480026,244.4471436,0.28385669,3.0,-1.861789703
5460.0,1.0,1359.0,1658.35022,468.7632751,15.0,-1.219200015,0.0,6000.0,15.0,15.0,351.2408447,0.177294984,4.0,-1.970796585
5461.0,1.0,1265.0,13061.96387,153.2748718,66.0,17.06879997,31.08959961,1000.0,54.41759872,16.32799911,493.2315674,1.71547091,3.0,11.63852692
5462.0,1.0,1225.0,18639.35742,66.99440765,33.0,8.534399986,33.22320175,1000.0,58.90800095,24.68479919,302.4996033,0.241653591,7.0,1.150529861
5463.0,1.0,1279.0,2120.584473,428.6950989,18.0,6.096000195,10.66800022,8000.0,26.83919907,21.1711998,221.4840546,0.56727761,7.0,1.266561508
5464.0,1.0,1358.0,4179.37207,60.11929703,7.0,-2.43840003,0.0,1000.0,7.609600067,7.609600067,222.7890167,0.187773421,4.0,0.458160996
5465.0,1.0,1367.0,6417.424805,2229.883789,20.0,2.743200064,0.0,1000.0,12.98959923,11.98959923,474.0652771,1.898652911,7.0,-6.822755814
5466.0,1.0,1284.0,18787.63281,618.6976318,40.0,8.534399986,32.00400162,1000.0,41.21920013,9.910400391,267.3417053,0.051376555,3.0,2.052894592
5467.0,1.0,1282.0,5845.298828,268.6596375,27.0,7.315199852,6.400800228,1000.0,29.13360023,20.4279995,258.4085999,0.315913022,7.0,3.141306877
5468.0,1.0,1300.0,7900.291992,119.7464828,23.0,5.181600094,0.0,1000.0,20.56159973,20.56159973,223.6738892,0.097767919,7.0,2.062507629
5469.0,1.0,1288.0,7940.092773,189.4536438,19.0,5.486400127,17.37360001,1000.0,32.10639954,28.3423996,308.0491638,1.99826169,3.0,-6.518968582
5470.0,1.0,1263.0,21448.50195,362.9997559,28.0,1.524000049,17.06879997,2000.0,23.4279995,9.359199524,228.694458,0.700301588,3.0,1.189460754
5471.0,1.0,1321.0,1076.578613,59.87323761,6.0,-0.914399981,0.0,1000.0,9.657600403,10.6576004,281.2224121,0.991246045,7.0,-3.195154667
5472.0,1.0,1281.0,12104.95313,201.0000458,33.0,6.096000195,40.84320068,2000.0,49.76399994,9.920799255,339.6516113,0.404950827,7.0,2.085794449
5473.0,1.0,1250.0,2291.826904,212.5364685,32.0,6.705600262,33.83280182,1000.0,46.32559967,13.49279976,338.2095337,0.430216014,7.0,5.975805283
5474.0,1.0,1246.0,22130.47656,428.7104797,43.0,1.524000049,9.753600121,2000.0,25.62639999,13.87279892,215.5545959,1.02786386,3.0,1.059482574
5476.0,1.0,1279.0,10075.79785,430.3577576,31.0,3.048000097,0.0,1000.0,43.49679947,45.49679947,356.2384644,0.739001393,7.0,0.747943878
5477.0,1.0,1335.0,3144.813477,777.3214111,18.0,5.791200161,0.0,1000.0,15.2567997,13.2567997,235.4014282,0.297416568,7.0,2.776656151
5478.0,1.0,1224.0,15169.91895,686.4291382,41.0,7.315199852,24.99360085,1000.0,49.83919907,23.84560013,275.1448364,0.330225617,3.0,3.70267868
5479.0,1.0,1353.0,2740.26416,450.8913574,8.0,0.0,0.0,1000.0,4.951999664,4.951999664,222.869339,0.171040446,4.0,-5.790676117
5480.0,1.0,1359.0,1668.599487,393.8427429,10.0,0.0,0.0,1000.0,6.951999664,8.951999664,227.1013641,0.727711976,4.0,-5.025580883
5481.0,1.0,1253.0,12474.5957,94.71182251,46.0,3.352800131,28.95600128,3000.0,57.27759933,29.32159996,236.6843109,0.168783635,3.0,4.229885101
5482.0,1.0,1241.0,2413.983643,216.4837494,35.0,8.229599953,28.65120125,1000.0,51.76399994,21.1128006,265.1636047,0.162233084,3.0,9.381771088
5483.0,1.0,1327.0,5878.362305,234.2090454,18.0,1.219200015,0.0,1000.0,20.13360023,18.13360023,282.2117615,0.200480938,7.0,1.050372601
5484.0,1.0,1289.0,17350.52344,341.8536682,40.0,4.87680006,32.30879974,8000.0,42.74319839,10.73920059,303.4985657,1.22822988,3.0,2.943264008
5485.0,1.0,1300.0,9006.285156,30.0635643,25.0,4.572000027,0.0,1000.0,19.20879936,22.20879936,230.2099152,0.509343028,7.0,3.114719391
5486.0,1.0,1283.0,1829.770142,133.9875946,18.0,1.524000049,16.45919991,6000.0,30.80160141,16.03759956,301.4438782,1.272192955,7.0,-2.271670341
5487.0,1.0,1334.0,3945.119873,769.8605957,18.0,4.267199993,0.0,1000.0,16.47599983,17.47599983,218.5808563,0.783158004,7.0,4.464483261
5488.0,1.0,1338.0,1073.410522,120.2506866,6.0,0.0,0.0,1000.0,6.304800034,7.304800034,249.4903259,0.221109286,4.0,-1.933748245
5489.0,1.0,1265.0,18093.65625,149.6810608,10.0,3.048000097,25.90800095,1000.0,43.83280182,17.92480087,339.771637,0.365053862,2.0,0.946483135
